일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/10/26","139000","-700","-0.50","140000","143000","138200","33589","4710692300","2118689430000","15242370"
"2022/10/25","139700","-300","-0.21","140000","141200","138300","31777","4456463100","2129359089000","15242370"
"2022/10/24","140000","4900","3.63","136400","141100","136200","41807","5849318900","2133931800000","15242370"
"2022/10/21","135100","2100","1.58","131700","135400","131700","18346","2455256000","2059244187000","15242370"
"2022/10/20","133000","-2800","-2.06","135100","136100","131300","64574","8606886160","2027235210000","15242370"
"2022/10/19","135800","-3900","-2.79","138300","140000","135800","63855","8774786187","2069913846000","15242370"
"2022/10/18","139700","-200","-0.14","142200","142400","138900","51159","7176820000","2129359089000","15242370"
"2022/10/17","139900","-3500","-2.44","141200","141200","137800","25885","3611887400","2132407563000","15242370"
"2022/10/14","143400","5900","4.29","141000","143800","138200","60373","8553160000","2185755858000","15242370"
"2022/10/13","137500","-1500","-1.08","138900","139100","136700","29989","4129720500","2095825875000","15242370"
"2022/10/12","139000","1300","0.94","137100","140800","135300","42864","5882569500","2118689430000","15242370"
"2022/10/11","137700","-3400","-2.41","138300","139600","134500","57120","7892049300","2098874349000","15242370"
"2022/10/07","141100","600","0.43","139100","146100","139000","74797","10637077800","2150698407000","15242370"
"2022/10/06","140500","9200","7.01","131300","142500","131300","60789","8348611900","2141552985000","15242370"
"2022/10/05","131300","-3000","-2.23","138100","138100","131200","38396","5107824900","2001323181000","15242370"
"2022/10/04","134300","9800","7.87","127900","134400","127600","47308","6234683300","2047050291000","15242370"
"2022/09/30","124500","1400","1.14","122000","125200","121700","30365","3751409900","1897675065000","15242370"
"2022/09/29","123100","-700","-0.57","127700","127700","122500","25681","3206195800","1876335747000","15242370"
"2022/09/28","123800","100","0.08","121700","127500","121700","50662","6309191300","1887005406000","15242370"
"2022/09/27","123700","1700","1.39","118900","123900","118900","60829","7397942400","1885481169000","15242370"
"2022/09/26","122000","-6100","-4.76","125300","127600","121900","61718","7638542500","1859569140000","15242370"
"2022/09/23","128100","-2900","-2.21","131700","131700","127200","26369","3386466800","1952547597000","15242370"
"2022/09/22","131000","-1300","-0.98","130000","132200","129100","22901","2985923400","1996750470000","15242370"
"2022/09/21","132300","0","0.00","130700","133300","130700","25362","3351055800","2016565551000","15242370"
"2022/09/20","132300","-5700","-4.13","138000","138100","131500","51122","6855548700","2016565551000","15242370"
"2022/09/19","138000","700","0.51","137200","138200","135200","48602","6666726457","2103447060000","15242370"
"2022/09/16","137300","-1600","-1.15","138900","139000","137300","47385","6533698797","2092777401000","15242370"
"2022/09/15","138900","-100","-0.07","140500","141200","138800","29563","4124010400","2117165193000","15242370"
"2022/09/14","139000","-3100","-2.18","137000","139900","137000","33260","4601375300","2118689430000","15242370"
"2022/09/13","142100","5100","3.72","139700","143300","138700","47253","6690489470","2165940777000","15242370"
"2022/09/08","137000","-1700","-1.23","139900","141100","136600","89131","12267444600","2088204690000","15242370"
"2022/09/07","138700","-4600","-3.21","143000","143000","138700","53315","7457405500","2114116719000","15242370"
"2022/09/06","143300","-1100","-0.76","144900","145900","141700","44688","6397048400","2184231621000","15242370"
"2022/09/05","144400","-900","-0.62","146000","146100","143200","43804","6323384000","2200998228000","15242370"
"2022/09/02","145300","2700","1.89","144300","145400","141800","54610","7860350600","2214716361000","15242370"
"2022/09/01","142600","-1000","-0.70","141600","144400","140300","38323","5452199500","2173561962000","15242370"
"2022/08/31","143600","700","0.49","141800","145000","140700","47023","6732075717","2188804332000","15242370"
"2022/08/30","142900","500","0.35","141500","145000","141500","38144","5483716700","2178134673000","15242370"
"2022/08/29","142400","-1200","-0.84","139000","143000","138400","65682","9286150800","2170513488000","15242370"
"2022/08/26","143600","1200","0.84","144900","145400","142500","57650","8307751300","2188804332000","15242370"
"2022/08/25","142400","5900","4.32","137400","142500","135000","52016","7329566000","2170513488000","15242370"
"2022/08/24","136500","-300","-0.22","138000","139000","134900","59058","8012676700","2080583505000","15242370"
"2022/08/23","136800","-2000","-1.44","137500","138400","135300","35295","4846053100","2085156216000","15242370"
"2022/08/22","138800","-4200","-2.94","142800","142800","137800","61532","8571856500","2115640956000","15242370"
"2022/08/19","143000","-1000","-0.69","144600","145200","141500","55003","7883846700","2179658910000","15242370"
"2022/08/18","144000","3800","2.71","140400","145000","139500","66419","9500346200","2194901280000","15242370"
"2022/08/17","140200","-1000","-0.71","141300","145000","140000","64398","9155286800","2136980274000","15242370"
"2022/08/16","141200","7700","5.77","135000","142500","134800","109061","15253238100","2152222644000","15242370"
"2022/08/12","133500","1600","1.21","131200","134600","131200","42189","5626271200","2034856395000","15242370"
"2022/08/11","131900","5300","4.19","129000","133300","128900","67175","8842068600","2010468603000","15242370"
